candidate,group,side,run,status,winner,target_side_win,log,compose_log,error
evil_baseline,evil_baseline,evil,11,failed,unknown,,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_011\server\TSCC.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_011\compose.log,game exceeded 5400s timeout; abandoned
evil_baseline,evil_baseline,evil,12,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_012\server\TMJW.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_012\compose.log,
evil_baseline,evil_baseline,evil,13,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_013\server\FSWW.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_013\compose.log,
evil_baseline,evil_baseline,evil,14,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_014\server\AMCT.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_014\compose.log,
evil_baseline,evil_baseline,evil,15,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_015\server\HOXH.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_015\compose.log,
evil_baseline,evil_baseline,evil,16,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_016\server\ASWN.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_016\compose.log,
evil_baseline,evil_baseline,evil,17,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_017\server\QNOC.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_017\compose.log,
evil_baseline,evil_baseline,evil,18,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_018\server\IWTJ.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_018\compose.log,
evil_baseline,evil_baseline,evil,19,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_019\server\ADIU.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_019\compose.log,
evil_baseline,evil_baseline,evil,20,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_020\server\EIVP.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_020\compose.log,
evil_baseline,evil_baseline,evil,21,failed,unknown,,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_021\server\WSOE.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_021\compose.log,game exceeded 5400s timeout; abandoned
evil_baseline,evil_baseline,evil,22,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_022\server\UHWL.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_022\compose.log,
evil_baseline,evil_baseline,evil,23,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_023\server\GZXR.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_023\compose.log,
evil_baseline,evil_baseline,evil,24,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_024\server\ZLUM.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_024\compose.log,
evil_baseline,evil_baseline,evil,25,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_025\server\KDKH.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_025\compose.log,
evil_baseline,evil_baseline,evil,26,failed,unknown,,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_026\server\AOGE.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_026\compose.log,game exceeded 5400s timeout; abandoned
evil_baseline,evil_baseline,evil,27,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_027\server\KOJH.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_027\compose.log,
evil_baseline,evil_baseline,evil,28,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_028\server\MOKK.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_028\compose.log,
evil_baseline,evil_baseline,evil,29,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_029\server\HUGC.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_029\compose.log,
evil_baseline,evil_baseline,evil,30,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_030\server\AIVI.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_baseline\run_030\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,1,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_001\server\GFJS.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_001\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,2,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_002\server\BHAX.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_002\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,3,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_003\server\EDAP.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_003\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,4,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_004\server\XJNT.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_004\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,5,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_005\server\KVDP.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_005\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,6,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_006\server\VKJH.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_006\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,7,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_007\server\VURU.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_007\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,8,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_008\server\OIOG.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_008\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,9,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_009\server\GQXW.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_009\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,10,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_010\server\VJRL.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_010\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,11,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_011\server\GYYY.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_011\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,12,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_012\server\WZIC.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_012\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,13,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_013\server\XXYT.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_013\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,14,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_014\server\GVUH.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_014\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,15,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_015\server\ITGC.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_015\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,16,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_016\server\ABDC.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_016\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,17,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_017\server\EIZG.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_017\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,18,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_018\server\ELEO.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_018\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,19,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_019\server\MUKI.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_019\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,20,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_020\server\ZCEY.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_020\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,21,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_021\server\HNEJ.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_021\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,22,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_022\server\OUZG.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_022\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,23,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_023\server\YHGV.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_023\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,24,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_024\server\NCUQ.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_024\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,25,failed,unknown,,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_025\server\RWEK.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_025\compose.log,game exceeded 5400s timeout; abandoned
evil_blend_aggressive,evil_blend_aggressive,evil,26,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_026\server\TBTC.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_026\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,27,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_027\server\GZWF.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_027\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,28,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_028\server\LHDW.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_028\compose.log,
evil_blend_aggressive,evil_blend_aggressive,evil,29,failed,unknown,,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_029\server\PKHQ.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_029\compose.log,game exceeded 5400s timeout; abandoned
evil_blend_aggressive,evil_blend_aggressive,evil,30,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_030\server\FADJ.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_blend_aggressive\run_030\compose.log,
evil_fail_half,evil_fail_half,evil,1,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_001\server\QYJX.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_001\compose.log,
evil_fail_half,evil_fail_half,evil,2,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_002\server\XGRO.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_002\compose.log,
evil_fail_half,evil_fail_half,evil,3,failed,unknown,,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_003\server\TYUB.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_003\compose.log,game exceeded 5400s timeout; abandoned
evil_fail_half,evil_fail_half,evil,4,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_004\server\ZRXB.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_004\compose.log,
evil_fail_half,evil_fail_half,evil,5,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_005\server\UXDI.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_005\compose.log,
evil_fail_half,evil_fail_half,evil,6,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_006\server\NZEO.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_006\compose.log,
evil_fail_half,evil_fail_half,evil,7,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_007\server\OASJ.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_007\compose.log,
evil_fail_half,evil_fail_half,evil,8,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_008\server\TADE.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_008\compose.log,
evil_fail_half,evil_fail_half,evil,9,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_009\server\JVFV.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_009\compose.log,
evil_fail_half,evil_fail_half,evil,10,failed,unknown,,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_010\server\RNMZ.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_010\compose.log,game exceeded 5400s timeout; abandoned
evil_fail_half,evil_fail_half,evil,11,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_011\server\PKIH.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_011\compose.log,
evil_fail_half,evil_fail_half,evil,12,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_012\server\ZYGJ.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_012\compose.log,
evil_fail_half,evil_fail_half,evil,13,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_013\server\DYRU.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_013\compose.log,
evil_fail_half,evil_fail_half,evil,14,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_014\server\GLJO.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_014\compose.log,
evil_fail_half,evil_fail_half,evil,15,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_015\server\GWTF.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_015\compose.log,
evil_fail_half,evil_fail_half,evil,16,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_016\server\UEMT.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_016\compose.log,
evil_fail_half,evil_fail_half,evil,17,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_017\server\ZLKU.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_017\compose.log,
evil_fail_half,evil_fail_half,evil,18,failed,unknown,,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_018\server\XTQO.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_018\compose.log,game exceeded 5400s timeout; abandoned
evil_fail_half,evil_fail_half,evil,19,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_019\server\CKIA.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_019\compose.log,
evil_fail_half,evil_fail_half,evil,20,failed,unknown,,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_020\server\ECPI.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_020\compose.log,game exceeded 5400s timeout; abandoned
evil_fail_half,evil_fail_half,evil,21,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_021\server\KCZJ.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_021\compose.log,
evil_fail_half,evil_fail_half,evil,22,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_022\server\OWFI.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_022\compose.log,
evil_fail_half,evil_fail_half,evil,23,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_023\server\HLPE.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_023\compose.log,
evil_fail_half,evil_fail_half,evil,24,completed,good,0,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_024\server\NLPI.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_024\compose.log,
evil_fail_half,evil_fail_half,evil,25,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_025\server\NLQN.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_025\compose.log,
evil_fail_half,evil_fail_half,evil,26,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_026\server\JQKU.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_026\compose.log,
evil_fail_half,evil_fail_half,evil,27,failed,unknown,,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_027\server\CKEF.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_027\compose.log,game exceeded 5400s timeout; abandoned
evil_fail_half,evil_fail_half,evil,28,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_028\server\ZJNT.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_028\compose.log,
evil_fail_half,evil_fail_half,evil,29,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_029\server\YYXL.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_029\compose.log,
evil_fail_half,evil_fail_half,evil,30,completed,evil,1,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_030\server\BLUN.json,E:\Local\Avalon-Agent\code\evaluation\policy_runs_overnight\20260608T180435Z\evil_fail_half\run_030\compose.log,
